file	Species	Order	Phylum	AA	PKS_AT	PKS_KR	PKS_KS	PKS_DH	PKS_PP	source
Absrep1	Absidia repens NRRL 1336 v1.0	Mucoromycotina	Mucoromycota	jgi|Absrep1|448669|estExt_Genemark1.C_6_t10153	1	NA	1	NA	NA	JGI
Bacci1	Backusella circina FSU 941 v1.0	Mucoromycotina	Mucoromycota	jgi|Bacci1|315358|MIX15630_62_23	1	NA	1	NA	NA	JGI
Bacci1	Backusella circina FSU 941 v1.0	Mucoromycotina	Mucoromycota	jgi|Bacci1|207987|estExt_Genewise1.C_80113	1	NA	1	NA	NA	JGI
Basme2finSC	Basidiobolus meristosporus JGI	Entomophthoromycotina	Zoopagomycota	jgi|Basme2finSC|146993|gw1.42.32.1	1	NA	1	NA	1	AntiSMASH
Basme2finSC	Basidiobolus meristosporus JGI	Entomophthoromycotina	Zoopagomycota	jgi|Basme2finSC|311577|fgenesh1_kg.41_#_27_#_Locus1509v1rpkm123.60	1	NA	1	NA	NA	AntiSMASH
Basme2finSC	Basidiobolus meristosporus JGI	Entomophthoromycotina	Zoopagomycota	jgi|Blatri1|451349|estExt_Genemark1.C_1390013	1	NA	1	NA	NA	AntiSMASH
Chlpad1	Absidia padenii NRRL 2977 v1.0	Mucoromycotina	Mucoromycota	jgi|Chlpad1|474985|gm1.10892_g	1	NA	1	NA	NA	JGI
Cirumb1	Circinella umbellata NRRL1351 v1.0	Mucoromycotina	Mucoromycota	jgi|Cirumb1|575955|gm1.13129_g	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|521378|MIX2514_694_10	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|481414|estExt_Genewise1.C_110112	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|365482|CE365481_18166	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|494983|fgenesh1_kg.2_#_554_#_TRINITY_DN1424_c0_g1_i1	NA	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|470808|e_gw1.8.201.1	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|539451|estExt_fgenesh1_pg.C_120184	1	NA	1	NA	NA	JGI
Coemoj1	Coemansia mojavensis RSA 71 v1.0	Mucoromycotina	Mucoromycota	jgi|Coemoj1|474831|e_gw1.31.22.1	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|36747|e_gw1.1.227.1	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|47266|e_gw1.34.41.1	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|10860|gm1.5569_g	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|103271|estExt_fgenesh1_pm.C_270024	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|45909|e_gw1.27.23.1	1	NA	1	NA	NA	JGI
Coere1	Coemansia reversa NRRL 1564 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coere1|67958|estExt_Genewise1.C_930009	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|250152|gm1.856_g	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|19903|CE19902_1923	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|250343|gm1.1047_g	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|206379|estExt_Genewise1.C_170017	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|263696|estExt_Genemark1.C_100195	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|202018|estExt_Genewise1.C_7_t10492	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|187753|e_gw1.3.418.1	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|198629|estExt_Genewise1.C_3_t10103	1	NA	1	NA	NA	JGI
Coespi1	Coemansia spiralis RSA 1278 v1.0	Kickxellomycotina	Zoopagomycota	jgi|Coespi1|262181|estExt_Genemark1.C_60139	1	NA	1	NA	NA	JGI
