name.or.i.	Sequence	Group
Acremonium_chrysogenum_PCBAB_P25464.1_A1_3	Ac_PCBAB_P25464.1_A1_3	ACV
Acremonium_chrysogenum_PCBAB_P25464.1_A2_3	Ac_PCBAB_P25464.1_A2_3	ACV
Acremonium_chrysogenum_PCBAB_P25464.1_A3_3	Ac_PCBAB_P25464.1_A3_3	ACV
Alternaria_alternata_AMtoxin_AAF01762.1_A1_3	Aa_AMtoxin_AAF01762.1_A1_3	EAS
Alternaria_alternata_AMtoxin_AAF01762.1_A2_3	Aa_AMtoxin_AAF01762.1_A2_3	EAS
Alternaria_alternata_AMtoxin_AAF01762.1_A3_3	Aa_AMtoxin_AAF01762.1_A3_3	EAS
Alternaria_alternata_Aft1_BAB69076.1_A1_1	Aa_Aft1_BAB69076.1_A1_1	Outgroups
Alternaria_alternata_Akt1_BAA36588.1_A1_1	Aa_Akt1_BAA36588.1_A1_1	Outgroups
Alternaria_brassicae_NPS1_AAP78735.1_A1_4	Ab_NPS1_AAP78735.1_A1_4	EAS
Alternaria_brassicae_NPS1_AAP78735.1_A2_4	Ab_NPS1_AAP78735.1_A2_4	EAS
Alternaria_brassicae_NPS1_AAP78735.1_A3_4	Ab_NPS1_AAP78735.1_A3_4	EAS
Alternaria_brassicae_NPS1_AAP78735.1_A4_4	Ab_NPS1_AAP78735.1_A4_4	EAS
Anabeana_variabilis_ABA23700.1_A1_1	Av_ABA23700.1_A1_1	Bact
Anabeana_variabilis_YP_322129.1_A1_3	Av_YP_322129.1_A1_3	Bact
Anabeana_variabilis_YP_322129.1_A2_3	Av_YP_322129.1_A2_3	Bact
Anabeana_variabilis_YP_322129.1_A3_3	Av_YP_322129.1_A3_3	Bact
Arthrobacter_sp._ACL_YP_833499.1_A1_1	Asp_ACL_YP_833499.1_A1_1	Outgroups
Arthrobacter_sp._NP_485735.1_A1_1	Asp._NP_485735.1_A1_1	Bact
Aspergillus_fumigatus_AAR_Afu4g11240_A1_1	Af_AAR_Afu4g11240_A1_1	AAR
Aspergillus_fumigatus_ACOAS_Afu4g11080_A1_1	Af_ACOAS_Afu4g11080_A1_1	Outgroups
Aspergillus_fumigatus_Afu1g10380_A1_4	Af_Afu1g10380_A1_4	EAS
Aspergillus_fumigatus_Afu1g10380_A2_4	Af_Afu1g10380_A2_4	EAS
Aspergillus_fumigatus_Afu1g10380_A3_4	Af_Afu1g10380_A3_4	EAS
Aspergillus_fumigatus_Afu1g10380_A4_4	Af_Afu1g10380_A4_4	EAS
Aspergillus_fumigatus_Afu1g17200_A1_3	Af_Afu1g17200_A1_3	SID
Aspergillus_fumigatus_Afu1g17200_A2_3	Af_Afu1g17200_A2_3	SID
Aspergillus_fumigatus_Afu1g17200_A3_3	Af_Afu1g17200_A3_3	SID
Aspergillus_fumigatus_Afu3g03350_A1_2	Af_Afu3g03350_A1_2	SIDE
Aspergillus_fumigatus_Afu3g03350_A2_2	Af_Afu3g03350_A2_2	SIDE
Aspergillus_fumigatus_Afu3g12920_A1_2	Af_Afu3g12920_A1_2	ChNPS11/ETP Mod 1
Aspergillus_fumigatus_Afu3g12920_A2_2	Af_Afu3g12920_A2_2	ChNPS11/ETP Mod 2
Aspergillus_fumigatus_Afu3g13730_A1_1	Af_Afu3g13730_A1_1	EAS
Aspergillus_fumigatus_Afu3g15270_A1_2	Af_Afu3g15270_A1_2	SIDE
Aspergillus_fumigatus_Afu3g15270_A2_2	Af_Afu3g15270_A2_2	SIDE
Aspergillus_fumigatus_Afu4g14440_A1_1	Af_Afu4g14440_A1_1	EAS
Aspergillus_fumigatus_Afu5g12730_A1_6	Af_Afu5g12730_A1_6	EAS
Aspergillus_fumigatus_Afu5g12730_A2_6	Af_Afu5g12730_A2_6	EAS
Aspergillus_fumigatus_Afu5g12730_A3_6	Af_Afu5g12730_A3_6	EAS
Aspergillus_fumigatus_Afu5g12730_A4_6	Af_Afu5g12730_A4_6	EAS
Aspergillus_fumigatus_Afu5g12730_A5_6	Af_Afu5g12730_A5_6	EAS
Aspergillus_fumigatus_Afu5g12730_A6_6	Af_Afu5g12730_A6_6	EAS
Aspergillus_fumigatus_Afu6g03480_A1_1	Af_Afu6g03480_A1_1	EAS
Aspergillus_fumigatus_Afu6g09610_A1_1	Af_Afu6g09610_A1_1	EAS
Aspergillus_fumigatus_Afu6g12050_A1_1	Af_Afu6g12050_A1_1	EAS
Aspergillus_fumigatus_Afu6g12080_A1_3	Af_Afu6g12080_A1_3	EAS
Aspergillus_fumigatus_Afu6g12080_A2_3	Af_Afu6g12080_A2_3	EAS
